Purchase Day,User,Total Amount,Unit Price
2025-06-03,Jack,300,60
2025-06-21,Dan,500,90
2025-06-20,  Dan ,300,50
,Henry,100,
2025-06-13,Dan,,50
2025-06-16,  Alice ,,80
2025-06-03,Bob,not_a_number,
2025-06-18,  Bob ,500,invalid
2025-06-21,  Grace ,200,100
2025-06-26,  Frank ,500,90
2025-06-16,Frank,300,70
2025-06-21,  Grace ,500,70
2025-06-13,  Carol ,500,90
2025-06-23,Frank,,invalid
2025-06-16,Bob,,
2025-06-05,Grace,200,80
2025-06-20,Dan,not_a_number,invalid
2025-06-12,  Frank ,100,90
,Bob,100,60
,  Jack ,300,70
2025-06-20,Dan,300,80
2025-06-02,Henry,400,50
,Jack,500,invalid
2025-06-10,  Ivy ,,
2025-06-15,Grace,400,70
2025-06-05,  Alice ,not_a_number,90
2025-06-17,  Alice ,not_a_number,70
2025-06-06,  Emily ,500,100
2025-06-01,Alice,not_a_number,
2025-06-06,  Dan ,200,
